date,hour,keyword,locations
2011-05-08,1,twitter,"[(42.18144, 93.54614), (42.24159, 93.36201), (42.21682, 93.33925), (42.23098, 93.54574), (42.241, 93.34683), (42.27078, 93.28293), (42.19147, 93.31568), (42.20768, 93.37), (42.24778, 93.34564), (42.16935, 93.34763), (42.27579, 93.29212), (42.21506, 93.40155), (42.20474, 93.37759), (42.20533, 93.32726), (42.23363, 93.34923), (42.23894, 93.35482), (42.27167, 93.38518), (42.23717, 93.42152), (42.29113, 93.27414), (42.20444, 93.41234), (42.22184, 93.35482), (42.21918, 93.36081), (42.22302, 93.20105), (42.20503, 93.33685), (42.21211, 93.38997), (42.22361, 93.34644), (42.22538, 93.36481), (42.21889, 93.36002), (42.22243, 93.35682), (42.22921, 93.38039), (42.21948, 93.24339), (42.25515, 93.39037), (42.21358, 93.34883), (42.2124, 93.19865), (42.21859, 93.36002), (42.2124, 93.33365), (42.2584, 93.42073), (42.18321, 93.47944), (42.23481, 93.56132)]"
2011-05-08,2,bad,"[(42.17643, 93.2322), (42.18085, 93.29611), (42.264, 93.29651), (42.23805, 93.32167), (42.27668, 93.38718), (42.23717, 93.35043), (42.25869, 93.4379), (42.25899, 93.4371), (42.17024, 93.55014), (42.24719, 93.30729), (42.1841, 93.38678), (42.27373, 93.33605), (42.28316, 93.28493), (42.23481, 93.34883), (42.20709, 93.35922), (42.22714, 93.27854), (42.21977, 93.39397), (42.23127, 93.34843), (42.21741, 93.5086), (42.23717, 93.32487), (42.2413, 93.35163), (42.21388, 93.24459), (42.29289, 93.42672)]"
2011-05-08,2,caught,"[(42.23363, 93.24299), (42.21476, 93.22621), (42.30027, 93.33925)]"
2011-05-08,2,feel,"[(42.29113, 93.19586), (42.21417, 93.39237), (42.27638, 93.26136), (42.18321, 93.54854), (42.24012, 93.34963), (42.22921, 93.32007), (42.23569, 93.35243), (42.20297, 93.55133), (42.24159, 93.34204), (42.25309, 93.56252), (42.1897, 93.40994), (42.24159, 93.36561), (42.22302, 93.35562), (42.1841, 93.42871), (42.18616, 93.55133), (42.28405, 93.45987), (42.21122, 93.38158), (42.25692, 93.3049), (42.24542, 93.32846), (42.27373, 93.54055), (42.23776, 93.32447)]"
2011-05-08,2,fever,"[(42.23393, 93.31648)]"
2011-05-08,2,flu,"[(42.22125, 93.35722), (42.23334, 93.32447)]"
2011-05-08,2,hospital,"[(42.16906, 93.32806), (42.20415, 93.38358)]"
2011-05-08,2,lol,"[(42.23363, 93.33246), (42.2755, 93.47425), (42.26371, 93.3728), (42.28641, 93.505), (42.27933, 93.28053), (42.23599, 93.35762), (42.22272, 93.37), (42.23569, 93.35243), (42.24159, 93.35922), (42.25221, 93.28253), (42.21063, 93.34284), (42.2926, 93.37519), (42.17791, 93.46506), (42.27786, 93.27494), (42.23304, 93.49741), (42.22714, 93.38118), (42.21712, 93.33246), (42.22036, 93.35043), (42.28316, 93.28493), (42.29643, 93.24898), (42.16729, 93.29212), (42.22773, 93.35323), (42.23216, 93.34883), (42.29083, 93.5062), (42.23746, 93.48823), (42.241, 93.35882), (42.29289, 93.39357), (42.16729, 93.20824), (42.20621, 93.33605), (42.18115, 93.38198), (42.17348, 93.50221), (42.20208, 93.40076), (42.1894, 93.37559), (42.23717, 93.35323), (42.16994, 93.4371), (42.24749, 93.33805), (42.29909, 93.53416), (42.1726, 93.49861), (42.27992, 93.3029), (42.24159, 93.35642), (42.22272, 93.39237), (42.21594, 93.34963), (42.16788, 93.29491), (42.26636, 93.22342), (42.20739, 93.54055)]"
2011-05-08,2,omg,"[(42.25339, 93.3005), (42.21329, 93.34923), (42.25398, 93.4359), (42.22655, 93.38598), (42.23717, 93.33086), (42.18587, 93.35802), (42.25633, 93.4359), (42.25221, 93.30809), (42.22685, 93.38638), (42.19088, 93.3057), (42.28552, 93.39876), (42.27373, 93.3684), (42.22125, 93.36401), (42.23953, 93.42831), (42.1956, 93.53975)]"
2011-05-08,2,sick,"[(42.22449, 93.35083), (42.22567, 93.29531), (42.27373, 93.54055), (42.23334, 93.32447), (42.21594, 93.34963)]"
2011-05-08,2,starbucks,"[(42.23363, 93.33246), (42.27078, 93.25657), (42.21447, 93.37759), (42.27402, 93.54534), (42.2239, 93.33365)]"
2011-05-08,2,stomach,"[(42.23776, 93.34763), (42.2127, 93.38078), (42.23393, 93.33925)]"
2011-05-08,2,twitter,"[(42.2124, 93.35323), (42.22744, 93.34284), (42.21004, 93.38158), (42.24955, 93.4351), (42.26429, 93.2334), (42.22066, 93.35283), (42.2124, 93.3708), (42.2752, 93.4383), (42.2814, 93.46706), (42.26577, 93.22022), (42.17437, 93.4411), (42.25221, 93.30809), (42.25663, 93.45907), (42.21388, 93.55812), (42.29643, 93.24898), (42.29083, 93.53016), (42.27314, 93.24738), (42.21476, 93.39357), (42.21299, 93.53176), (42.18351, 93.36401), (42.26754, 93.3712), (42.21535, 93.39756), (42.19972, 93.4363), (42.241, 93.35243), (42.20208, 93.40076), (42.27963, 93.41673), (42.24484, 93.32686), (42.28405, 93.47145), (42.24189, 93.37), (42.24071, 93.34604), (42.21388, 93.24459), (42.17732, 93.20864), (42.21329, 93.33805), (42.24749, 93.48383), (42.24601, 93.27694), (42.24513, 93.43311), (42.28552, 93.43031), (42.25899, 93.33166)]"
2011-05-08,3,bad,"[(42.27874, 93.4375), (42.2528, 93.42073), (42.22449, 93.34524), (42.16759, 93.49422), (42.29938, 93.51499), (42.23245, 93.35043), (42.22243, 93.36201), (42.23334, 93.34204), (42.25368, 93.41873), (42.27491, 93.38398), (42.20356, 93.40036), (42.21152, 93.38598), (42.2242, 93.36561), (42.21329, 93.39556), (42.24307, 93.33286), (42.25899, 93.46786), (42.27874, 93.40914), (42.24366, 93.22981), (42.21506, 93.38598), (42.2183, 93.47465), (42.23982, 93.32926), (42.21388, 93.3732), (42.21329, 93.35362), (42.2867, 93.33845), (42.24513, 93.32127), (42.23982, 93.33925), (42.22626, 93.25936)]"
2011-05-08,3,caught,"[(42.22361, 93.34484)]"
2011-05-08,3,feel,"[(42.23864, 93.44908), (42.26312, 93.48184), (42.2466, 93.43391), (42.22538, 93.33006), (42.22449, 93.33445), (42.28258, 93.4391), (42.241, 93.28333), (42.25162, 93.41074), (42.24159, 93.44269), (42.23275, 93.34444), (42.25663, 93.33046), (42.22538, 93.56212), (42.22508, 93.33565), (42.21447, 93.46067), (42.27874, 93.40914), (42.24012, 93.35402), (42.23628, 93.3696), (42.17053, 93.32686), (42.29614, 93.3692), (42.2183, 93.48383), (42.21948, 93.36002)]"
2011-05-08,3,flu,"[(42.26931, 93.30609), (42.23009, 93.3724)]"
2011-05-08,3,hospital,"[(42.21299, 93.37679), (42.21594, 93.22621), (42.23835, 93.32726), (42.16582, 93.54814)]"
2011-05-08,3,lol,"[(42.22567, 93.55133), (42.18498, 93.54335), (42.26842, 93.49422), (42.21535, 93.3684), (42.22331, 93.47784), (42.27697, 93.47584), (42.25486, 93.27614), (42.27786, 93.25058), (42.19707, 93.32447), (42.17378, 93.3001), (42.19972, 93.29891), (42.22331, 93.36241), (42.25368, 93.27294), (42.241, 93.34564), (42.22184, 93.27135), (42.26429, 93.37559), (42.19884, 93.25497), (42.18557, 93.45787), (42.23864, 93.3676), (42.24277, 93.33365), (42.22538, 93.35003), (42.27285, 93.56372), (42.23363, 93.3676), (42.21624, 93.39956), (42.2242, 93.34404), (42.20651, 93.35482), (42.2982, 93.52897), (42.25368, 93.24419), (42.21977, 93.27734), (42.21211, 93.35163), (42.26341, 93.49661), (42.20621, 93.35922), (42.2469, 93.35163), (42.29555, 93.21183), (42.20326, 93.40275), (42.22095, 93.28053), (42.22302, 93.32846), (42.2239, 93.28852), (42.23186, 93.45987), (42.2127, 93.39676), (42.21181, 93.40275), (42.21358, 93.39237), (42.20179, 93.40195), (42.17053, 93.32686), (42.17997, 93.46666), (42.1953, 93.37439), (42.29614, 93.3692), (42.18616, 93.36401), (42.19707, 93.40195), (42.2413, 93.33885), (42.21859, 93.37799), (42.21063, 93.39277)]"
2011-05-08,3,omg,"[(42.22184, 93.31129), (42.19972, 93.29891), (42.26223, 93.4371), (42.27108, 93.40595), (42.17053, 93.44709), (42.24778, 93.46386), (42.18144, 93.3005), (42.21181, 93.37959), (42.28258, 93.34723), (42.2982, 93.32966), (42.23805, 93.44669), (42.24631, 93.33126), (42.17584, 93.38518), (42.20533, 93.35402)]"
2011-05-08,3,sick,"[(42.29407, 93.20544), (42.24071, 93.44829)]"
2011-05-08,3,starbucks,"[(42.22007, 93.34164), (42.21211, 93.36002)]"
2011-05-08,3,stomach,"[(42.23864, 93.34723), (42.26842, 93.55972), (42.28199, 93.27893)]"
2011-05-08,3,twitter,"[(42.21181, 93.3732), (42.27904, 93.4383), (42.23216, 93.36441), (42.21152, 93.39157), (42.2528, 93.42113), (42.24012, 93.43151), (42.2183, 93.33885), (42.241, 93.33166), (42.28258, 93.38438), (42.23216, 93.43271), (42.18262, 93.42392), (42.22508, 93.38438), (42.21565, 93.39676), (42.2068, 93.3684), (42.25191, 93.44669), (42.21417, 93.42512), (42.17555, 93.47305), (42.23687, 93.33006), (42.21358, 93.36241), (42.24041, 93.33166), (42.18321, 93.37799), (42.20533, 93.35682), (42.24395, 93.33086), (42.16552, 93.55293), (42.20533, 93.3712), (42.22626, 93.32607), (42.24071, 93.32686), (42.1726, 93.43031), (42.22655, 93.35083), (42.23068, 93.32607)]"
2011-05-08,4,bad,"[(42.2466, 93.54654), (42.22184, 93.38278), (42.21565, 93.37), (42.26636, 93.38917), (42.25368, 93.40994), (42.21329, 93.38478), (42.22184, 93.26855), (42.17791, 93.39996), (42.27697, 93.37639), (42.24572, 93.33845), (42.17319, 93.28852), (42.20326, 93.34723), (42.26901, 93.4391), (42.20415, 93.38318), (42.22184, 93.37479), (42.22302, 93.42352), (42.22479, 93.3688)]"
2011-05-08,4,caught,"[(42.17908, 93.46266)]"
2011-05-08,4,feel,"[(42.25663, 93.26655), (42.22449, 93.26096), (42.27904, 93.4379), (42.20592, 93.372), (42.21004, 93.3676), (42.23658, 93.35283), (42.24867, 93.47065), (42.21093, 93.3688), (42.2584, 93.25337), (42.22449, 93.21383), (42.23393, 93.32527), (42.18203, 93.46666), (42.23923, 93.36161), (42.25221, 93.51499)]"
2011-05-08,4,fever,"[(42.24012, 93.35802)]"
2011-05-08,4,flu,"[(42.21122, 93.33605)]"
2011-05-08,4,hospital,"[(42.21034, 93.37519), (42.26046, 93.27534)]"
2011-05-08,4,lol,"[(42.23393, 93.35442), (42.19884, 93.35442), (42.21682, 93.35402), (42.25132, 93.55014), (42.23717, 93.35762), (42.27815, 93.54015), (42.20651, 93.35482), (42.16523, 93.43191), (42.2469, 93.53376), (42.22596, 93.20864), (42.26636, 93.38917), (42.21299, 93.40076), (42.21918, 93.3684), (42.18233, 93.40515), (42.26783, 93.33405), (42.24071, 93.35362), (42.24336, 93.35522), (42.20592, 93.368), (42.25604, 93.28253), (42.23422, 93.35482), (42.24336, 93.33605), (42.16641, 93.29611), (42.19176, 93.4395), (42.22066, 93.34524), (42.20886, 93.35323), (42.23098, 93.34923), (42.24719, 93.34124), (42.27285, 93.41074), (42.22361, 93.34843), (42.21447, 93.36481), (42.23157, 93.32886), (42.22007, 93.25257), (42.21063, 93.34284), (42.27167, 93.54135), (42.20562, 93.34044), (42.23304, 93.35682), (42.24572, 93.33166), (42.20326, 93.39596), (42.22331, 93.47784), (42.23452, 93.34004), (42.20798, 93.34683), (42.21594, 93.38438), (42.26253, 93.37919), (42.27491, 93.4391), (42.21388, 93.38797), (42.2127, 93.35922), (42.21977, 93.368), (42.22832, 93.3009), (42.21358, 93.35522)]"
2011-05-08,4,omg,"[(42.20179, 93.39397), (42.16552, 93.3688), (42.27167, 93.29531), (42.2298, 93.25737), (42.16729, 93.45947), (42.23334, 93.34404), (42.21594, 93.38438), (42.28199, 93.31928)]"
2011-05-08,4,sick,"[(42.28316, 93.44389), (42.27904, 93.4379), (42.21682, 93.53296)]"
2011-05-08,4,starbucks,"[(42.17967, 93.48104), (42.22891, 93.54135)]"
2011-05-08,4,twitter,"[(42.19854, 93.39277), (42.17879, 93.48783), (42.241, 93.35922), (42.23923, 93.35962), (42.22862, 93.34803), (42.24955, 93.21543), (42.23569, 93.33365), (42.20709, 93.37559), (42.19972, 93.42752), (42.2469, 93.48383), (42.20709, 93.50061), (42.23628, 93.34763), (42.2298, 93.25737), (42.27756, 93.24978), (42.24189, 93.35283), (42.24484, 93.22342), (42.23098, 93.36002), (42.2242, 93.5082), (42.27845, 93.40395), (42.25781, 93.49182), (42.28611, 93.52457), (42.23068, 93.34404), (42.21741, 93.33685), (42.24542, 93.33046), (42.29997, 93.49342), (42.21004, 93.34044), (42.17407, 93.55573), (42.23334, 93.34404), (42.18793, 93.37919), (42.21093, 93.38837), (42.28965, 93.37519), (42.26076, 93.41074), (42.20709, 93.35323), (42.28169, 93.503), (42.21093, 93.38278), (42.27756, 93.44549)]"
2011-05-08,5,bad,"[(42.20651, 93.34963), (42.16582, 93.47904), (42.22626, 93.35642), (42.28051, 93.34044), (42.29407, 93.2374), (42.21063, 93.35962), (42.17732, 93.38278), (42.20415, 93.34204), (42.18557, 93.55373), (42.16994, 93.31688), (42.20533, 93.33965), (42.21358, 93.20664), (42.16965, 93.40755), (42.2699, 93.372), (42.21388, 93.3688), (42.21299, 93.39636), (42.20149, 93.54015), (42.1956, 93.38718), (42.23864, 93.32886), (42.24336, 93.33885), (42.22655, 93.25417), (42.19147, 93.54095), (42.27167, 93.54255), (42.24307, 93.32646)]"
2011-05-08,5,caught,"[(42.25781, 93.2338), (42.23393, 93.34564)]"
2011-05-08,5,feel,"[(42.20651, 93.34963), (42.26312, 93.46506), (42.21329, 93.34164), (42.22036, 93.38198), (42.28906, 93.53855), (42.24366, 93.32926), (42.26636, 93.372), (42.19943, 93.35402), (42.22655, 93.35323), (42.21682, 93.41513), (42.22567, 93.31368), (42.1723, 93.36481), (42.21299, 93.39636), (42.23687, 93.34564), (42.22508, 93.33325), (42.23511, 93.49182), (42.21741, 93.35323), (42.23039, 93.51219), (42.19176, 93.52058)]"
2011-05-08,5,flu,"[(42.21535, 93.21103), (42.22567, 93.37759)]"
2011-05-08,5,hospital,"[(42.28818, 93.39756), (42.20503, 93.37439)]"
2011-05-08,5,lol,"[(42.27255, 93.22182), (42.2528, 93.41074), (42.23157, 93.34204), (42.21388, 93.38238), (42.22508, 93.34524), (42.28818, 93.33525), (42.21535, 93.21103), (42.27343, 93.32487), (42.24985, 93.4415), (42.22154, 93.51059), (42.29142, 93.53895), (42.24542, 93.48463), (42.22213, 93.36241), (42.27108, 93.45068), (42.22921, 93.46506), (42.2239, 93.36561), (42.29997, 93.45587), (42.21122, 93.35083), (42.21329, 93.34004), (42.20916, 93.37639), (42.23511, 93.34484), (42.21211, 93.37959), (42.23422, 93.34564), (42.23953, 93.33405), (42.23982, 93.34644), (42.21358, 93.31967), (42.22331, 93.34883), (42.23923, 93.31249), (42.28641, 93.40755), (42.21594, 93.38558), (42.23776, 93.34004), (42.20385, 93.34404)]"
2011-05-08,5,medicine,"[(42.22567, 93.31368), (42.22479, 93.33405)]"
2011-05-08,5,omg,"[(42.21535, 93.48942), (42.20916, 93.35882), (42.26724, 93.41354), (42.28287, 93.42073), (42.22832, 93.38438), (42.24041, 93.33166), (42.23511, 93.33485), (42.27609, 93.29691), (42.20621, 93.35922), (42.23982, 93.5074), (42.23923, 93.33325)]"
2011-05-08,5,sick,"[(42.19972, 93.4391), (42.25398, 93.22781), (42.21093, 93.39796), (42.24218, 93.43431), (42.21447, 93.32447), (42.22007, 93.34084), (42.21977, 93.48064), (42.21093, 93.39996)]"
2011-05-08,5,starbucks,"[(42.21093, 93.38118), (42.28434, 93.43151), (42.20621, 93.35722), (42.21181, 93.33405)]"
2011-05-08,5,stomach,"[(42.28434, 93.28093)]"
2011-05-08,5,twitter,"[(42.21476, 93.38997), (42.18351, 93.40076), (42.21358, 93.35283), (42.27845, 93.2334), (42.21535, 93.48942), (42.21859, 93.33126), (42.26901, 93.40834), (42.24425, 93.34084), (42.23628, 93.36161), (42.20739, 93.3676), (42.22125, 93.35043), (42.1723, 93.38039), (42.23363, 93.32607), (42.23511, 93.34484), (42.21388, 93.20704), (42.23923, 93.32407), (42.1782, 93.55133), (42.20474, 93.34883), (42.22449, 93.33445), (42.20474, 93.35922), (42.20444, 93.38078), (42.23009, 93.34164), (42.1785, 93.21383), (42.24012, 93.32327), (42.23599, 93.31848), (42.17702, 93.38917), (42.22036, 93.34723), (42.17201, 93.39876), (42.19943, 93.36161), (42.21594, 93.38558), (42.21122, 93.40115), (42.21771, 93.40115)]"
2011-05-08,6,bad,"[(42.28434, 93.31488), (42.2295, 93.50979), (42.27255, 93.45028), (42.23275, 93.3704), (42.27432, 93.4399), (42.218, 93.34324), (42.21476, 93.19985), (42.24071, 93.32407), (42.16994, 93.20584), (42.21417, 93.37639), (42.21181, 93.32766), (42.20503, 93.33525), (42.26135, 93.52537), (42.23658, 93.34204), (42.23245, 93.34444), (42.22213, 93.33565), (42.21771, 93.34803), (42.18144, 93.40675), (42.22361, 93.3732), (42.2242, 93.35882), (42.24808, 93.4411), (42.21093, 93.39836), (42.26518, 93.38558), (42.24012, 93.35402), (42.17024, 93.48703), (42.18675, 93.55693), (42.24955, 93.53416), (42.22449, 93.38718), (42.21859, 93.38118), (42.2926, 93.25098)]"
2011-05-08,6,caught,"[(42.29791, 93.52737)]"
2011-05-08,6,feel,"[(42.23923, 93.49941), (42.22331, 93.38039), (42.17997, 93.44629), (42.20415, 93.37719), (42.24277, 93.32327), (42.24454, 93.51938), (42.22744, 93.38478), (42.23864, 93.28333), (42.19088, 93.44509), (42.22832, 93.36521), (42.22567, 93.35802), (42.23511, 93.33445), (42.27668, 93.33925), (42.20179, 93.36681), (42.16611, 93.233), (42.18587, 93.53136), (42.26872, 93.38797)]"
2011-05-08,6,hospital,"[(42.22921, 93.26416)]"
2011-05-08,6,lol,"[(42.20444, 93.33086), (42.25044, 93.21822), (42.21417, 93.3049), (42.22626, 93.32686), (42.23894, 93.33685), (42.21417, 93.35682), (42.20061, 93.40794), (42.27904, 93.33565), (42.20651, 93.33246), (42.22655, 93.46826), (42.17673, 93.20305), (42.24041, 93.35642), (42.22302, 93.35842), (42.20238, 93.39357), (42.28906, 93.42113), (42.22744, 93.38478), (42.21771, 93.34803), (42.16729, 93.37599), (42.17024, 93.34244), (42.26341, 93.39077), (42.28611, 93.52138), (42.21948, 93.46506), (42.2242, 93.35882), (42.21329, 93.39277), (42.2127, 93.35323), (42.21181, 93.38797), (42.19471, 93.19546), (42.20179, 93.36681), (42.21918, 93.39876), (42.24189, 93.53336), (42.17053, 93.46746), (42.21004, 93.3704), (42.29614, 93.37), (42.2354, 93.34124), (42.18793, 93.33006), (42.21535, 93.34963), (42.28641, 93.26815), (42.20916, 93.36161), (42.27373, 93.37879), (42.20533, 93.40115), (42.20975, 93.36681), (42.29732, 93.5046), (42.26872, 93.27055), (42.20798, 93.3708), (42.29289, 93.54295), (42.21211, 93.37559), (42.23658, 93.34444), (42.24277, 93.33765)]"
2011-05-08,6,omg,"[(42.17437, 93.48463), (42.24867, 93.48942), (42.19501, 93.53775), (42.27049, 93.45827), (42.23275, 93.35283), (42.22567, 93.38638), (42.2923, 93.49781)]"
2011-05-08,6,sick,"[(42.22508, 93.33805), (42.23687, 93.36601), (42.23923, 93.42392), (42.22596, 93.33445)]"
2011-05-08,6,starbucks,"[(42.20827, 93.34124), (42.23304, 93.34564), (42.18675, 93.48663), (42.16641, 93.41154), (42.264, 93.20584), (42.23982, 93.33685)]"
2011-05-08,6,stomach,"[(42.22596, 93.35522)]"
2011-05-08,6,twitter,"[(42.18675, 93.55413), (42.23039, 93.25417), (42.25663, 93.26416), (42.21653, 93.54694), (42.29113, 93.49422), (42.26577, 93.2314), (42.20385, 93.20424), (42.25545, 93.25896), (42.21299, 93.39796), (42.22744, 93.38478), (42.17791, 93.233), (42.22832, 93.32766), (42.25692, 93.54614), (42.25103, 93.45268), (42.29348, 93.3001), (42.17201, 93.45707), (42.22479, 93.33605), (42.25958, 93.33725), (42.21535, 93.3029), (42.23275, 93.35802), (42.19442, 93.3676)]"
2011-05-08,7,bad,"[(42.2242, 93.34004), (42.23746, 93.36601), (42.2239, 93.33965), (42.22302, 93.3692), (42.22331, 93.36041), (42.23068, 93.21782), (42.24749, 93.32527), (42.20002, 93.51658), (42.23923, 93.33845), (42.21771, 93.26655), (42.23452, 93.32407), (42.21358, 93.37639)]"
2011-05-08,7,caught,"[(42.22773, 93.55812), (42.26135, 93.39237)]"
